,rooms,renovation,materials,facilities,prices,negotiations,floors,total_floors,city,district,street,living_squares,home_area(acres²)
0,2,Euro renovation,Monolythic,1,72000.0,0,15,16,Tashkent city,Mirzo-Ulugbek district,Avihon street,76.6,76.6
1,3,Euro renovation,Brick,0,150000.0,0,2,5,Tashkent city,Yakkasarai district,Street Shota Rustaveli,70.0,70.0
2,2,Medium,Monolythic,0,70000.0,0,4,9,Tashkent city,Yashnobodsky district,Makhalinsky gathering of citizens of the TRACK,60.0,60.0
3,3,Euro renovation,Brick,0,101999.0,0,2,4,Tashkent city,Mirabad district,Sarykul Street,65.0,65.0
4,1,Medium,Brick,0,40500.0,1,4,4,Tashkent city,Mirzo-Ulugbek district,Muminov Street,28.0,28.0
5,3,Medium,Brick,0,69000.0,0,5,5,Tashkent city,Orthodpinsky district,Makhalinsky gathering of citizens Vatan,68.0,68.0
6,5,Euro renovation,Brick,1,165000.0,1,5,6,Tashkent city,Orthodpinsky district,Makhalinsky gathering citizens,150.0,150.0
7,2,Medium,Brick,1,90000.0,1,1,2,Tashkent city,Mirabad district,Street Kushkuprik,74.8,74.8
8,3,Euro renovation,Brick,0,90000.0,1,1,5,Tashkent city,Yunusabad district,Makhalinsky gathering of citizens Kushchinor,70.0,70.0
9,2,Medium,Panel,0,59500.0,0,3,4,Tashkent city,Chilanzar district,Makhalinsky gathering of citizens of Qatartal,54.0,54.0
10,2,Medium,Brick,0,93000.0,0,3,4,Tashkent city,Yakkasarai district,Yusuf Street Hos Khojib,73.0,73.0
11,2,Euro renovation,Brick,0,60990.0,0,2,4,Tashkent city,Chilanzar district,2nd quarter,45.0,45.0
12,3,Rough finish,Monolythic,1,103499.94,0,7,11,Tashkent city,Mirabad district,Hamal Street,83.88,83.88
13,1,Euro renovation,Brick,0,24000.0,0,1,4,Tashkent city,Orthodpinsky district,Madanit Street,15.0,15.0
14,2,Requires repairs,Panel,0,58000.0,0,4,5,Tashkent city,Yashnobodsky district,Makhalinsky gathering of citizens Parvos,58.0,58.0
15,3,Euro renovation,Brick,1,51000.0,1,8,8,Tashkent city,Yashnobodsky district,Street is emit,55.0,55.0
16,2,Requires repairs,Panel,0,58000.0,1,4,5,Tashkent city,Yashnobodsky district,Makhalinsky gathering of citizens Parvos,58.0,58.0
17,1,Requires repairs,Brick,0,40000.0,1,2,5,Tashkent city,Mirabad district,Sarykul Street,38.0,38.0
18,2,Rough finish,Monolythic,0,84263.36,0,10,11,Tashkent city,Mirabad district,Hamal Street,68.29,68.29
19,3,Requires repairs,Panel,1,62500.0,1,3,4,Tashkent city,Orthodpinsky district,Makhalinsky gathering of citizens,65.0,65.0
20,3,Euro renovation,Brick,0,51000.0,1,3,8,Tashkent city,Yashnobodsky district,Street is emit,55.0,55.0
21,1,Requires repairs,Other,1,16500.0,1,1,1,Tashkent city,Sergeli district,Makhalinsky gathering citizens of Yangi Sergey,24.0,24.0
22,4,Rough finish,Brick,0,127500.0,1,8,9,Tashkent city,Chilanzar district,Makhalinsky gathering of citizens of Kutarma,125.0,125.0
23,2,Medium,Other,1,87000.0,1,3,9,Tashkent city,Chilanzar district,OQ-Tepa Sohil Bo'yi residential complex,63.0,63.0
24,1,Rough finish,Monolythic,1,49837.42,0,10,11,Tashkent city,Mirabad district,Hamal Street,40.39,40.39
25,3,Rough finish,Monolythic,1,103499.94,0,7,11,Tashkent city,Mirabad district,Hamal Street,83.88,83.88
26,3,Euro renovation,Monolythic,1,75000.0,1,4,4,Tashkent city,Orthodpinsky district,Takachi street,72.0,72.0
27,2,Euro renovation,Panel,0,67000.0,0,4,5,Tashkent city,Mirzo-Ulugbek district,Makhalinsky gathering citizens of Sultonia,57.6,57.6
28,1,Euro renovation,Brick,0,47500.0,0,4,5,Tashkent city,Mirzo-Ulugbek district,Buyuk Street Ipak Yuli,28.0,28.0
29,2,Medium,Brick,0,55700.0,0,3,4,Tashkent city,Orthodpinsky district,Makhalinsky gathering of citizens Diyrabad,48.0,48.0
30,1,Euro renovation,Brick,0,27500.0,0,5,5,Tashkent city,Yakkasarai district,Kushbugi Street,19.0,19.0
